model,condition,AUPRC,AUPRC,Recall_01,Recall_01,Recall_05,Recall_05,Recall_10,Recall_10,FPR_01,FPR_01,FPR_05,FPR_05,FPR_10,FPR_10,Brier,Brier
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dense_only,F200,0.4445092535278494,0.12785005170484817,0.03167265601293,0.03930207865009512,0.08854707422798634,0.0428878222175174,0.17348606170853637,0.08884683136569217,0.008025019877885519,0.008026720065601376,0.0215506611805269,0.013888306979966177,0.07860896872059212,0.034013852122435684,0.23597731328234722,0.021933234466087977
dense_only,M3F200,0.41814160202668804,0.11776495783232412,0.01751200548469612,0.021551884649448204,0.049554998896129,0.029390984196118387,0.11965111727531381,0.05758320609941707,0.007712606022160199,0.007985605918877363,0.02576046738321658,0.012949298230486584,0.07744263650302248,0.03503325788337656,0.24009037916587078,0.021759815645188706
dense_only,benign_general,,,,,,,,,0.058381669778012846,0.10659850737074245,0.0732149294933201,0.10985039330644314,0.10929851715724141,0.10889434283998765,0.10429140357006324,0.07817114126414144
dense_only,cleanM0,0.6376530758658019,0.1056534166341839,0.1301807649301605,0.07532776822561438,0.31585908265859647,0.10763444930699202,0.45539568400845243,0.15786331179659693,0.02008960168522118,0.01511826663291911,0.055104768664779334,0.033145967622593975,0.12022108684028884,0.06538017819404417,0.1802810359168223,0.04446067416589795
fusion_consistent,F200,0.7061536423465019,0.13171725452354135,0.14144791688548802,0.10583104795198867,0.5472708210388347,0.17997896712595118,0.6521871224764813,0.14530383441742598,0.00825201436178274,0.005277964492371472,0.09060945181337617,0.04555906044564826,0.14456262293670658,0.07823185973978705,0.15798318405187978,0.03167856140804869
fusion_consistent,M3F200,0.7184242493235122,0.1441215452490386,0.1285018401024321,0.09849496802869803,0.5789840796695394,0.19949934938386074,0.6710303428103461,0.15606976659125626,0.00794868911145996,0.003515177689194115,0.08268719490188894,0.02940210585765641,0.1422794265465946,0.07417131635287404,0.15330672853841,0.0429057194306983
fusion_consistent,benign_general,,,,,,,,,0.0082138327968003,0.011926119623765141,0.05710430613950096,0.030476559433721222,0.09301852690026906,0.05603065091674153,0.055883732327359215,0.04422360000844051
fusion_consistent,cleanM0,0.8331221064212977,0.12205027302114338,0.3436757993246929,0.20180522008945498,0.7906885483342542,0.20314810276291712,0.8546655371099231,0.19414159182339982,0.013577515399386958,0.01406670047873948,0.06742127814178632,0.029547125973798424,0.10256031879831315,0.04023593822229931,0.09503285031859857,0.04876937056903898
fusion_multitask,F200,0.593408684682158,0.14940919696639873,0.03806517158369418,0.029168412909642883,0.16961602025416064,0.0839499476722972,0.2835188683403598,0.14273276104484092,0.00254980566126044,0.004152750880397195,0.03109468416263254,0.01795437940237795,0.058443599086694095,0.023319101713871342,0.20605473938414492,0.04460929027947633
fusion_multitask,M3F200,0.5905077306106312,0.13267471552503715,0.03426665454962196,0.030748786094648452,0.17378947650163962,0.0634504818833743,0.27512584150068314,0.11194124964883957,0.00392012057830166,0.0014712273910868667,0.03478587187198824,0.015506385648546488,0.06769489329054908,0.02933530820260264,0.20773135548065347,0.04406233120336281
fusion_multitask,benign_general,,,,,,,,,0.00970637011023314,0.013357160192242513,0.02460876411996766,0.020935123701861458,0.041720971321688935,0.0324144577116374,0.04269644128533996,0.028384291312196434
fusion_multitask,cleanM0,0.807847596142907,0.14706422879407285,0.3585216718362992,0.27992098750514227,0.6781550258927825,0.24310612062274453,0.7868676025768735,0.1991798498591479,0.015248400361024001,0.013590019466674255,0.06565419213123154,0.030935870938316137,0.10276896217546069,0.017592747499179988,0.11512379573231493,0.05246647715578537
fusion_no_aux,F200,0.5783314393686233,0.18267949447354428,0.06486555795749897,0.07030497317059722,0.23185347205010717,0.233365288306295,0.340111786091364,0.27895188600530574,0.00211070543400046,0.0029916929283285002,0.041864607571964044,0.030525367204593583,0.07658193387648217,0.042365606990138055,0.20510584008197852,0.06172518327790254
fusion_no_aux,M3F200,0.576871957265876,0.19076182001058695,0.05666931088618542,0.05770607512802274,0.2839750919586543,0.2743342585272893,0.3700286737726092,0.2899252634054787,0.0034910037785520196,0.0037764090410361143,0.03900166780987482,0.02805593756474851,0.08196416477810282,0.03862193027197743,0.20112792565618606,0.06726957848085284
fusion_no_aux,benign_general,,,,,,,,,0.0106753408696379,0.012725925695873828,0.03744024973173346,0.0244695701501864,0.05607366892246838,0.023907238080108063,0.04710980063238503,0.038491532944276444
fusion_no_aux,cleanM0,0.7935519158913223,0.12852232737952793,0.2667040897393921,0.2521342408537675,0.6461791108921195,0.168258934693573,0.7309361739227637,0.17978010385844082,0.012627132101118061,0.010755729768829542,0.05831519490178374,0.03981169983397122,0.09757323843346484,0.03493080619146513,0.1204852105440041,0.030046392524014184
fusion_source_balanced,F200,0.72508360342777,0.16100589246161848,0.1884432321880615,0.18683500267848557,0.43864030661780273,0.2390907722285129,0.6575873963960943,0.17196454833263922,0.0087993711682921,0.009007591104149011,0.0487177512266665,0.02726586084021865,0.11986537564760628,0.06494207909115733,0.14491725784031018,0.029309549190345743
fusion_source_balanced,M3F200,0.735215817070866,0.14749525796775795,0.16852853611817262,0.17735769849959376,0.4513363928724171,0.2195879329731844,0.6790146662987745,0.16879950161398952,0.010746596250154021,0.003934434019091807,0.04266290700919554,0.018307550933343218,0.11335308558565567,0.04491066020914649,0.1426698391460765,0.03683806606009774
fusion_source_balanced,benign_general,,,,,,,,,0.01836003274335906,0.022544152851194592,0.09967321776212101,0.12782965448547826,0.126910054525812,0.1357683546241871,0.0673005207001208,0.05343172233659107
fusion_source_balanced,cleanM0,0.8144749412527409,0.1735057590127801,0.4648131094918503,0.36272118232498374,0.759752931899957,0.1844274089333244,0.8515135730194052,0.20183864886823122,0.024999647483050357,0.027990693865876538,0.059999450112318796,0.02519329448174287,0.11892642243764436,0.058685385378115684,0.09664438220182141,0.046793642424422056
hist_ngram_xgb,F200,0.5765066938211997,0.08452864284443831,0.04268766396102634,0.05214938359154553,0.17137900698716219,0.13899444628144403,0.2922159672123134,0.17937868934569004,0.006081198778810839,0.012487493483232541,0.04455031298088385,0.052630548285557556,0.08985292369813683,0.07958121934046165,0.2581236879065654,0.06675732669938753
hist_ngram_xgb,M3F200,0.5632513475793992,0.08467536573235722,0.03311471465428403,0.04479810420251022,0.17879682893261795,0.17362694613346247,0.2947170882904101,0.20977560405969314,0.006017222464932184,0.00975526113254534,0.04207958414957056,0.051330938554193614,0.09248193584972242,0.08769005518425861,0.2586505996397942,0.06319974736934453
hist_ngram_xgb,benign_general,,,,,,,,,0.008589638176995507,0.015298506975111903,0.04521598458404198,0.04893524203995384,0.0727273943682311,0.07431274231874374,0.013085335458576902,0.007653719568848191
hist_ngram_xgb,cleanM0,0.8275898793230458,0.04387621954023064,0.33962756689656665,0.20472400792571624,0.5822297760417656,0.1935184707131831,0.7078232954634143,0.19249043676386002,0.01939580815405647,0.020606932047392983,0.06306748449776149,0.054900403848696336,0.11958049952484721,0.0717850562344402,0.1391955005773557,0.03420011622862771
ngram_only,F200,0.5911734795643655,0.10036357947396737,0.05141763464496944,0.04123860458149832,0.296344105196259,0.07213943442239146,0.4539391369792458,0.05771985612357785,0.00506374753372658,0.006934342641350048,0.06901261523395327,0.05085447903721017,0.14274104265642656,0.08631101555021146,0.19489388627550075,0.054148725942709634
ngram_only,M3F200,0.5726187082569246,0.1322757071151168,0.0749690261317167,0.06368855013297514,0.3187051336115797,0.04427587460828524,0.49345216357135824,0.046276342286323435,0.011623259641938579,0.011865261552781446,0.08960954412417375,0.0664417978760405,0.17982297046169723,0.1286292047357778,0.199623241428032,0.050974933980406575
ngram_only,benign_general,,,,,,,,,0.01119827121850252,0.008009241440853007,0.05799272120702052,0.029481130260817678,0.12547435154031325,0.09303384560921969,0.07095528619029193,0.035252036362412795
ngram_only,cleanM0,0.7874189879870336,0.12732711122521712,0.24812198007340286,0.2433816061565186,0.6948223960279741,0.21212921161063697,0.7640808830563002,0.18371528194011594,0.01347098725848018,0.008120964675829912,0.06819659602885704,0.02036301382905783,0.14993635970334132,0.07418135548411782,0.12851617038619237,0.04889410606950317
sequence_only,F200,0.9103805289040487,0.050946695347125925,0.2928282867264284,0.19080715360835357,0.7235458699181625,0.15434854166119663,0.8439403579934992,0.13706390243913866,0.005865495009581803,0.005766679223795523,0.03150898192276217,0.02269804498553485,0.06041998929516509,0.03438739501926986,0.09298580374680257,0.041841575188936254
sequence_only,M3F200,0.9101915525287843,0.04743167221452501,0.29513335822570924,0.19220232347131358,0.7188936543563493,0.15307847725431586,0.8544315964171086,0.1262620877074616,0.004736619761267648,0.004443878006456563,0.04073817567853497,0.02668121427631248,0.07968922113621339,0.045342800761806024,0.09406819506756373,0.040524210696051575
sequence_only,benign_general,,,,,,,,,0.005101476743267784,0.0074886042887011795,0.06161591466206497,0.08110367525378427,0.09999862660472653,0.10844067181456882,0.03629157349323568,0.030754103787307693
sequence_only,cleanM0,0.930900936168527,0.03753509325157138,0.6008192799546254,0.20046771550437747,0.8281529441093763,0.17579431887744948,0.9297295624823639,0.10595253006782264,0.016374251673738297,0.010778253336271533,0.04632996584627824,0.027416587277166504,0.09552115026493517,0.030339464260326278,0.062165803126001104,0.03321208462912563
