unit_key,model,seed,fold,condition,layout,aggregation,token_budget,reference,best_val_AUPRC,temperature,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
flat_control_2048:7702:0,flat_control_2048,7702,0,M0,flat,flat,2048,False,0.9007903408128748,1.8704991340637207,0.9118254934315723,0.6069084305884684,0.4442635399245539,0.8143757834036245,0.904079394915861,0.15293947879338493,0.2565789473684211,0.01020408163265306,0.48026315789473684,0.05442176870748299,0.5328947368421053,0.0782312925170068
flat_control_2048:7702:0,flat_control_2048,7702,0,F200,flat,flat,2048,False,0.9007903408128748,1.8704991340637207,0.9118254934315723,0.6069084305884684,0.4442635399245539,0.49235003242962405,0.6393886501969208,0.24773561591072688,0.006578947368421052,0.003401360544217687,0.08552631578947369,0.006802721088435374,0.13157894736842105,0.030612244897959183
flat_control_16384:7702:0,flat_control_16384,7702,0,M0,flat,flat,16384,False,0.9665363955465818,1.160104513168335,0.900689739527382,0.5975893173700468,0.25889718902419645,0.8959504350642702,0.9552788220551378,0.12494193696284675,0.506578947368421,0.013605442176870748,0.5986842105263158,0.017006802721088437,0.6118421052631579,0.023809523809523808
flat_control_16384:7702:0,flat_control_16384,7702,0,F200,flat,flat,16384,False,0.9665363955465818,1.160104513168335,0.900689739527382,0.5975893173700468,0.25889718902419645,0.8416531075578243,0.8739258861439313,0.1621422599959651,0.21710526315789475,0.0,0.3618421052631579,0.006802721088435374,0.4934210526315789,0.027210884353741496
chunk_attention_control_2048:7702:0,chunk_attention_control_2048,7702,0,M0,chunk,attention,2048,False,0.9385256805233605,1.627206802368164,0.9484362738819635,0.4854820938357719,0.2905930067506117,0.7041720197355263,0.6712428392409596,0.18162638884632265,0.375,0.01020408163265306,0.5131578947368421,0.03741496598639456,0.5263157894736842,0.08843537414965986
chunk_attention_control_2048:7702:0,chunk_attention_control_2048,7702,0,F200,chunk,attention,2048,False,0.9385256805233605,1.627206802368164,0.9484362738819635,0.4854820938357719,0.2905930067506117,0.7598922489526804,0.7895408163265307,0.15722072342413004,0.375,0.01020408163265306,0.5460526315789473,0.0782312925170068,0.6447368421052632,0.22448979591836735
chunk_mean_control_16384:7702:0,chunk_mean_control_16384,7702,0,M0,chunk,mean,16384,False,0.8987798112973889,1.8339331150054932,0.7055421237528674,0.37953882759399993,0.26546115613557203,0.7080341770432982,0.6508794307196563,0.18279195448096025,0.3618421052631579,0.006802721088435374,0.4934210526315789,0.05782312925170068,0.5526315789473685,0.0782312925170068
chunk_mean_control_16384:7702:0,chunk_mean_control_16384,7702,0,F200,chunk,mean,16384,False,0.8987798112973889,1.8339331150054932,0.7055421237528674,0.37953882759399993,0.26546115613557203,0.6290902722675636,0.7080200501253133,0.24228364260250104,0.0,0.0,0.1513157894736842,0.01020408163265306,0.26973684210526316,0.04421768707482993
chunk_attention_control_16384:7702:0,chunk_attention_control_16384,7702,0,M0,chunk,attention,16384,False,0.9339535467749249,1.7075793743133545,0.9566653523075662,0.4641959992901236,0.2787616442582424,0.8092410967919912,0.8884376118868601,0.14700937812577175,0.3618421052631579,0.013605442176870748,0.5592105263157895,0.02040816326530612,0.5592105263157895,0.034013605442176874
chunk_attention_control_16384:7702:0,chunk_attention_control_16384,7702,0,F200,chunk,attention,16384,False,0.9339535467749249,1.7075793743133545,0.9566653523075662,0.4641959992901236,0.2787616442582424,0.7551851009940379,0.8239124597207304,0.14681664413768233,0.35526315789473684,0.013605442176870748,0.5526315789473685,0.023809523809523808,0.5657894736842105,0.05102040816326531
authguard_reference_16384:7702:0,authguard_reference_16384,7702,0,M0,chunk,attention,16384,True,0.9519519905996946,2.182542085647583,0.9029991245726856,0.4620781935470092,0.12434834035796294,0.8366300283353988,0.9001857321876119,0.1615807556974035,0.4407894736842105,0.013605442176870748,0.5526315789473685,0.04081632653061224,0.5592105263157895,0.07482993197278912
authguard_reference_16384:7702:0,authguard_reference_16384,7702,0,F200,chunk,attention,16384,True,0.9519519905996946,2.182542085647583,0.9029991245726856,0.4620781935470092,0.12434834035796294,0.7861963840445728,0.8259711779448622,0.1515806055913625,0.4342105263157895,0.01020408163265306,0.5855263157894737,0.04081632653061224,0.6052631578947368,0.1326530612244898
flat_control_2048:7703:0,flat_control_2048,7703,0,M0,flat,flat,2048,False,0.8924607805320814,1.371226191520691,0.9159694034225848,0.7960440504239126,0.6978918588693707,0.8155605369327162,0.8725049230218404,0.1507546033226119,0.3223684210526316,0.013605442176870748,0.5,0.027210884353741496,0.5394736842105263,0.03741496598639456
flat_control_2048:7703:0,flat_control_2048,7703,0,F200,flat,flat,2048,False,0.8924607805320814,1.371226191520691,0.9159694034225848,0.7960440504239126,0.6978918588693707,0.5397199197859399,0.6468626924453991,0.21496445285521457,0.039473684210526314,0.0,0.07236842105263158,0.003401360544217687,0.09210526315789473,0.003401360544217687
flat_control_16384:7703:0,flat_control_16384,7703,0,M0,flat,flat,16384,False,0.9484389338351837,1.5693678855895996,0.9714340848432848,0.6226173260015865,0.4648195522834121,0.9109264340711009,0.9731583422842821,0.061921747929830344,0.4144736842105263,0.013605442176870748,0.5789473684210527,0.030612244897959183,0.9671052631578947,0.03741496598639456
flat_control_16384:7703:0,flat_control_16384,7703,0,F200,flat,flat,16384,False,0.9484389338351837,1.5693678855895996,0.9714340848432848,0.6226173260015865,0.4648195522834121,0.7493247250873282,0.7745255997135696,0.17210472533905002,0.10526315789473684,0.0,0.45394736842105265,0.023809523809523808,0.506578947368421,0.047619047619047616
chunk_attention_control_2048:7703:0,chunk_attention_control_2048,7703,0,M0,chunk,attention,2048,False,0.9149381063465384,2.279475450515747,0.8947025632327401,0.49690449643777024,0.3445066025862683,0.6847399427992578,0.7110745614035088,0.19397363868860248,0.27631578947368424,0.013605442176870748,0.4605263157894737,0.04081632653061224,0.4934210526315789,0.08163265306122448
chunk_attention_control_2048:7703:0,chunk_attention_control_2048,7703,0,F200,chunk,attention,2048,False,0.9149381063465384,2.279475450515747,0.8947025632327401,0.49690449643777024,0.3445066025862683,0.6880784696557602,0.691953097028285,0.1865461787032934,0.29605263157894735,0.017006802721088437,0.5328947368421053,0.10204081632653061,0.5657894736842105,0.22108843537414966
chunk_mean_control_16384:7703:0,chunk_mean_control_16384,7703,0,M0,chunk,mean,16384,False,0.8959025228415759,1.8395943641662598,0.907052109568012,0.6817910506437799,0.5768661764756359,0.7135850059021531,0.6945600608664517,0.17919731561154734,0.2631578947368421,0.003401360544217687,0.48026315789473684,0.034013605442176874,0.5460526315789473,0.061224489795918366
chunk_mean_control_16384:7703:0,chunk_mean_control_16384,7703,0,F200,chunk,mean,16384,False,0.8959025228415759,1.8395943641662598,0.907052109568012,0.6817910506437799,0.5768661764756359,0.6966939652075913,0.7604949874686716,0.19533035991891376,0.0,0.0,0.05263157894736842,0.0,0.14473684210526316,0.003401360544217687
chunk_attention_control_16384:7703:0,chunk_attention_control_16384,7703,0,M0,chunk,attention,16384,False,0.9524979598846419,1.9050121307373047,0.903808676176384,0.4995554490698107,0.19714915257836707,0.7170363622259964,0.7645564804869317,0.18655476387901443,0.39473684210526316,0.01020408163265306,0.5197368421052632,0.05442176870748299,0.5460526315789473,0.09183673469387756
chunk_attention_control_16384:7703:0,chunk_attention_control_16384,7703,0,F200,chunk,attention,16384,False,0.9524979598846419,1.9050121307373047,0.903808676176384,0.4995554490698107,0.19714915257836707,0.7426201548443541,0.7919351951306839,0.16807079825756294,0.40131578947368424,0.01020408163265306,0.5131578947368421,0.05442176870748299,0.5855263157894737,0.12244897959183673
authguard_reference_16384:7703:0,authguard_reference_16384,7703,0,M0,chunk,attention,16384,True,0.9550198496046602,2.0070340633392334,0.8962134299171127,0.6863707978340641,0.05334802544164372,0.8452295564356233,0.9309322413175797,0.16867747766659003,0.4276315789473684,0.017006802721088437,0.4868421052631579,0.02040816326530612,0.5723684210526315,0.05442176870748299
authguard_reference_16384:7703:0,authguard_reference_16384,7703,0,F200,chunk,attention,16384,True,0.9550198496046602,2.0070340633392334,0.8962134299171127,0.6863707978340641,0.05334802544164372,0.8239609902136763,0.8688909774436091,0.17420191986854008,0.3026315789473684,0.006802721088435374,0.4407894736842105,0.01020408163265306,0.5789473684210527,0.05782312925170068
flat_control_2048:7704:0,flat_control_2048,7704,0,M0,flat,flat,2048,False,0.9013136058812041,1.7362475395202637,0.840204188987657,0.737983229370073,0.5130382804097807,0.8641123887140291,0.9276875223773721,0.10336334851912862,0.40131578947368424,0.01020408163265306,0.48026315789473684,0.02040816326530612,0.5263157894736842,0.05782312925170068
flat_control_2048:7704:0,flat_control_2048,7704,0,F200,flat,flat,2048,False,0.9013136058812041,1.7362475395202637,0.840204188987657,0.737983229370073,0.5130382804097807,0.6107342044747488,0.7015529896168993,0.2040115801965711,0.03289473684210526,0.003401360544217687,0.046052631578947366,0.006802721088435374,0.20394736842105263,0.027210884353741496
flat_control_16384:7704:0,flat_control_16384,7704,0,M0,flat,flat,16384,False,0.9549816299141348,1.8750592470169067,0.9661970065674665,0.2985208666011,0.17738562256300686,0.8824047851074629,0.947267722878625,0.12048447360414782,0.2565789473684211,0.013605442176870748,0.5789473684210527,0.030612244897959183,0.5986842105263158,0.08163265306122448
flat_control_16384:7704:0,flat_control_16384,7704,0,F200,flat,flat,16384,False,0.9549816299141348,1.8750592470169067,0.9661970065674665,0.2985208666011,0.17738562256300686,0.813452128053443,0.8744629430719656,0.15599071170345286,0.09210526315789473,0.0,0.5394736842105263,0.05442176870748299,0.6381578947368421,0.14625850340136054
chunk_attention_control_2048:7704:0,chunk_attention_control_2048,7704,0,M0,chunk,attention,2048,False,0.9020993048839299,2.6022121906280518,0.9209823083401631,0.7995694742482051,0.5476419163910485,0.7053337432829174,0.7018327067669173,0.1893016252165091,0.3881578947368421,0.01020408163265306,0.5,0.05782312925170068,0.5394736842105263,0.09863945578231292
chunk_attention_control_2048:7704:0,chunk_attention_control_2048,7704,0,F200,chunk,attention,2048,False,0.9020993048839299,2.6022121906280518,0.9209823083401631,0.7995694742482051,0.5476419163910485,0.7350877998249391,0.7256310418904403,0.1707564389116815,0.3881578947368421,0.013605442176870748,0.5197368421052632,0.02040816326530612,0.5855263157894737,0.09523809523809523
chunk_mean_control_16384:7704:0,chunk_mean_control_16384,7704,0,M0,chunk,mean,16384,False,0.9178157113027872,1.4675801992416382,0.8494383602748219,0.4809348814391115,0.25728886759761804,0.7303698220050756,0.6847140171858216,0.16952516260620196,0.24342105263157895,0.0,0.5131578947368421,0.03741496598639456,0.5789473684210527,0.05102040816326531
chunk_mean_control_16384:7704:0,chunk_mean_control_16384,7704,0,F200,chunk,mean,16384,False,0.9178157113027872,1.4675801992416382,0.8494383602748219,0.4809348814391115,0.25728886759761804,0.6374047048001316,0.7086018617973504,0.2425932010191233,0.0,0.0,0.1513157894736842,0.003401360544217687,0.2894736842105263,0.013605442176870748
chunk_attention_control_16384:7704:0,chunk_attention_control_16384,7704,0,M0,chunk,attention,16384,False,0.9423855440968212,1.8863047361373901,0.9730522097373556,0.4007436691607653,0.24265917200609238,0.7678698828209106,0.7923491765127103,0.1510010436762068,0.27631578947368424,0.003401360544217687,0.5723684210526315,0.030612244897959183,0.5789473684210527,0.05442176870748299
chunk_attention_control_16384:7704:0,chunk_attention_control_16384,7704,0,F200,chunk,attention,16384,False,0.9423855440968212,1.8863047361373901,0.9730522097373556,0.4007436691607653,0.24265917200609238,0.7750466365754973,0.8054511278195488,0.14261687624462077,0.23026315789473684,0.003401360544217687,0.5657894736842105,0.04421768707482993,0.5789473684210527,0.07482993197278912
authguard_reference_16384:7704:0,authguard_reference_16384,7704,0,M0,chunk,attention,16384,True,0.9522902468727409,2.255960702896118,0.9275489442699814,0.32556442818276754,0.1163086113883403,0.8535560133771033,0.9129408342284282,0.1508930961257286,0.39473684210526316,0.013605442176870748,0.5526315789473685,0.03741496598639456,0.5592105263157895,0.06462585034013606
authguard_reference_16384:7704:0,authguard_reference_16384,7704,0,F200,chunk,attention,16384,True,0.9522902468727409,2.255960702896118,0.9275489442699814,0.32556442818276754,0.1163086113883403,0.7837032556011034,0.8282984246330112,0.1522977903899833,0.27631578947368424,0.003401360544217687,0.5460526315789473,0.027210884353741496,0.618421052631579,0.1054421768707483
flat_control_2048:7702:1,flat_control_2048,7702,1,M0,flat,flat,2048,False,0.9169938002602582,1.235519528388977,0.9015335795170392,0.4280948346794313,0.2638155338596452,0.8786100831682253,0.9330821917808219,0.09689948634254587,0.3424657534246575,0.006666666666666667,0.7876712328767124,0.12333333333333334,0.8904109589041096,0.17333333333333334
flat_control_2048:7702:1,flat_control_2048,7702,1,F200,flat,flat,2048,False,0.9169938002602582,1.235519528388977,0.9015335795170392,0.4280948346794313,0.2638155338596452,0.5242802499364638,0.6700228310502282,0.2427135435216459,0.0684931506849315,0.0033333333333333335,0.19863013698630136,0.04666666666666667,0.2671232876712329,0.09333333333333334
flat_control_16384:7702:1,flat_control_16384,7702,1,M0,flat,flat,16384,False,0.9551889679855985,0.9964497685432434,0.9766197136669721,0.8149771301031296,0.28714084787770633,0.9102636332591364,0.9654908675799087,0.05621787318920666,0.4863013698630137,0.013333333333333334,0.8698630136986302,0.05,0.9657534246575342,0.09333333333333334
flat_control_16384:7702:1,flat_control_16384,7702,1,F200,flat,flat,16384,False,0.9551889679855985,0.9964497685432434,0.9766197136669721,0.8149771301031296,0.28714084787770633,0.8904545148758728,0.9412100456621004,0.08513216170967178,0.15753424657534246,0.0033333333333333335,0.6506849315068494,0.03333333333333333,0.8972602739726028,0.14666666666666667
chunk_attention_control_2048:7702:1,chunk_attention_control_2048,7702,1,M0,chunk,attention,2048,False,0.941236355193072,1.8877720832824707,0.9434688130446587,0.2501031677473472,0.1176945836613752,0.9222961860309762,0.9533561643835617,0.060436916556315855,0.4794520547945205,0.01,0.9246575342465754,0.08333333333333333,0.9315068493150684,0.15
chunk_attention_control_2048:7702:1,chunk_attention_control_2048,7702,1,F200,chunk,attention,2048,False,0.941236355193072,1.8877720832824707,0.9434688130446587,0.2501031677473472,0.1176945836613752,0.9215130427226494,0.9630821917808219,0.04952306652747111,0.4452054794520548,0.01,0.958904109589041,0.12333333333333334,0.958904109589041,0.2966666666666667
chunk_mean_control_16384:7702:1,chunk_mean_control_16384,7702,1,M0,chunk,mean,16384,False,0.9163795526091135,0.9552019834518433,0.9856902775915444,0.6042601884710944,0.5123356263226566,0.8825122005761195,0.9389497716894978,0.08768151503998435,0.2054794520547945,0.0033333333333333335,0.7945205479452054,0.08333333333333333,0.8561643835616438,0.1
chunk_mean_control_16384:7702:1,chunk_mean_control_16384,7702,1,F200,chunk,mean,16384,False,0.9163795526091135,0.9552019834518433,0.9856902775915444,0.6042601884710944,0.5123356263226566,0.6945867077878731,0.8286986301369863,0.18457523317491964,0.0,0.0,0.1643835616438356,0.02,0.2465753424657534,0.03
chunk_attention_control_16384:7702:1,chunk_attention_control_16384,7702,1,M0,chunk,attention,16384,False,0.9436187567120417,1.702605128288269,0.9143876473522022,0.34548461838729255,0.1615983662520296,0.9208829764276663,0.9581963470319634,0.06466877099423099,0.726027397260274,0.02,0.8424657534246576,0.06333333333333334,0.9246575342465754,0.12
chunk_attention_control_16384:7702:1,chunk_attention_control_16384,7702,1,F200,chunk,attention,16384,False,0.9436187567120417,1.702605128288269,0.9143876473522022,0.34548461838729255,0.1615983662520296,0.9045517084627942,0.94986301369863,0.07067656910450743,0.6917808219178082,0.02,0.8904109589041096,0.10333333333333333,0.958904109589041,0.20333333333333334
authguard_reference_16384:7702:1,authguard_reference_16384,7702,1,M0,chunk,attention,16384,True,0.9512945773014536,1.7876911163330078,0.9490995809288135,0.1623888731042625,0.052316157671724844,0.9287530160753922,0.9764383561643836,0.04155340182763991,0.3972602739726027,0.01,0.9657534246575342,0.06666666666666667,0.9657534246575342,0.12666666666666668
authguard_reference_16384:7702:1,authguard_reference_16384,7702,1,F200,chunk,attention,16384,True,0.9512945773014536,1.7876911163330078,0.9490995809288135,0.1623888731042625,0.052316157671724844,0.9155995562382145,0.9608219178082191,0.0678972380701908,0.4726027397260274,0.013333333333333334,0.9383561643835616,0.12333333333333334,0.9657534246575342,0.17666666666666667
flat_control_2048:7703:1,flat_control_2048,7703,1,M0,flat,flat,2048,False,0.9115821918536731,1.2328953742980957,0.9030244849046847,0.39163339534774655,0.27954111946185634,0.8997414122400618,0.9481506849315069,0.0851773149314705,0.363013698630137,0.01,0.821917808219178,0.08333333333333333,0.8835616438356164,0.15
flat_control_2048:7703:1,flat_control_2048,7703,1,F200,flat,flat,2048,False,0.9115821918536731,1.2328953742980957,0.9030244849046847,0.39163339534774655,0.27954111946185634,0.5420148282937223,0.6635388127853881,0.2360528717666287,0.0273972602739726,0.0,0.2054794520547945,0.043333333333333335,0.2465753424657534,0.09666666666666666
flat_control_16384:7703:1,flat_control_16384,7703,1,M0,flat,flat,16384,False,0.9647582425157679,0.9693924188613892,0.9270926281341578,0.5138096545424958,0.14851172460612316,0.9391767387881829,0.9738356164383563,0.057003657883802406,0.5342465753424658,0.013333333333333334,0.9315068493150684,0.07,0.958904109589041,0.13
flat_control_16384:7703:1,flat_control_16384,7703,1,F200,flat,flat,16384,False,0.9647582425157679,0.9693924188613892,0.9270926281341578,0.5138096545424958,0.14851172460612316,0.8208304459942318,0.8907990867579909,0.14025924781536941,0.2602739726027397,0.0033333333333333335,0.5342465753424658,0.04666666666666667,0.7328767123287672,0.16333333333333333
chunk_attention_control_2048:7703:1,chunk_attention_control_2048,7703,1,M0,chunk,attention,2048,False,0.9411007360690251,1.4302772283554077,0.9234955173048072,0.3463551120797984,0.1751651586907442,0.932075545766067,0.9731735159817352,0.056622559843060354,0.5958904109589042,0.013333333333333334,0.9452054794520548,0.1,0.958904109589041,0.15
chunk_attention_control_2048:7703:1,chunk_attention_control_2048,7703,1,F200,chunk,attention,2048,False,0.9411007360690251,1.4302772283554077,0.9234955173048072,0.3463551120797984,0.1751651586907442,0.9292046811695732,0.9659817351598173,0.061319242038962815,0.5821917808219178,0.01,0.9178082191780822,0.09333333333333334,0.952054794520548,0.17
chunk_mean_control_16384:7703:1,chunk_mean_control_16384,7703,1,M0,chunk,mean,16384,False,0.9394061799732734,1.2387181520462036,0.9577149234837228,0.41658428597720554,0.2842828278419921,0.9088844458763098,0.9678538812785389,0.06316917112546178,0.4657534246575342,0.013333333333333334,0.9931506849315068,0.09666666666666666,0.9931506849315068,0.12333333333333334
chunk_mean_control_16384:7703:1,chunk_mean_control_16384,7703,1,F200,chunk,mean,16384,False,0.9394061799732734,1.2387181520462036,0.9577149234837228,0.41658428597720554,0.2842828278419921,0.7272650230250718,0.8473059360730594,0.17959540064130866,0.0273972602739726,0.0,0.3904109589041096,0.05333333333333334,0.4794520547945205,0.08333333333333333
chunk_attention_control_16384:7703:1,chunk_attention_control_16384,7703,1,M0,chunk,attention,16384,False,0.9653309208608999,1.705525279045105,0.9625500957132711,0.21305422338543947,0.10007078277833242,0.9399982207414067,0.973538812785388,0.045914433562207806,0.589041095890411,0.016666666666666666,0.952054794520548,0.09,0.9657534246575342,0.16666666666666666
chunk_attention_control_16384:7703:1,chunk_attention_control_16384,7703,1,F200,chunk,attention,16384,False,0.9653309208608999,1.705525279045105,0.9625500957132711,0.21305422338543947,0.10007078277833242,0.9259976413300207,0.961986301369863,0.06355885547954254,0.547945205479452,0.02,0.9657534246575342,0.12,0.9657534246575342,0.26
authguard_reference_16384:7703:1,authguard_reference_16384,7703,1,M0,chunk,attention,16384,True,0.9496924376140468,1.4699057340621948,0.8781333118040795,0.07627882986127042,0.05016378879018719,0.9186858946367334,0.9682420091324201,0.046134446260661315,0.6643835616438356,0.016666666666666666,0.952054794520548,0.06666666666666667,0.952054794520548,0.08
authguard_reference_16384:7703:1,authguard_reference_16384,7703,1,F200,chunk,attention,16384,True,0.9496924376140468,1.4699057340621948,0.8781333118040795,0.07627882986127042,0.05016378879018719,0.9129988892416051,0.9605479452054796,0.056086379868939364,0.4520547945205479,0.016666666666666666,0.952054794520548,0.08333333333333333,0.952054794520548,0.10666666666666667
