unit_key,model,seed,fold,condition,token_budget,best_val_AUPRC,temperature,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
authguard_msp_16384:7702:1,authguard_msp_16384,7702,1,M0,16384,0.9655229645530283,2.0105888843536377,0.9644950991433658,0.5112001004269291,0.14392422324553047,0.942706919823972,0.977054794520548,0.0477763131834596,0.3013698630136986,0.006666666666666667,0.9246575342465754,0.07333333333333333,0.9657534246575342,0.11666666666666667
authguard_msp_16384:7702:1,authguard_msp_16384,7702,1,F200,16384,0.9655229645530283,2.0105888843536377,0.9644950991433658,0.5112001004269291,0.14392422324553047,0.8832130232930879,0.9536986301369863,0.08021290548118189,0.0547945205479452,0.0033333333333333335,0.7465753424657534,0.043333333333333335,0.952054794520548,0.15
authguard_msp_16384:7703:1,authguard_msp_16384,7703,1,M0,16384,0.9240484565271084,1.3954426050186157,0.971718070392807,0.621634818287973,0.19441068837268471,0.9453684645429273,0.9736073059360729,0.05889029082668409,0.4178082191780822,0.006666666666666667,0.8972602739726028,0.06333333333333334,0.9931506849315068,0.14333333333333334
authguard_msp_16384:7703:1,authguard_msp_16384,7703,1,F200,16384,0.9240484565271084,1.3954426050186157,0.971718070392807,0.621634818287973,0.19441068837268471,0.7512086252225436,0.8630593607305936,0.17118459806818312,0.06164383561643835,0.0033333333333333335,0.410958904109589,0.043333333333333335,0.5684931506849316,0.11
authguard_msp_16384:7704:1,authguard_msp_16384,7704,1,M0,16384,0.9511753012354427,1.9768924713134766,0.9060547681133009,0.21935361347802815,0.047620833505810964,0.9285351174383127,0.9708904109589042,0.05833828256744985,0.2808219178082192,0.013333333333333334,0.9246575342465754,0.07333333333333333,0.9657534246575342,0.13666666666666666
authguard_msp_16384:7704:1,authguard_msp_16384,7704,1,F200,16384,0.9511753012354427,1.9768924713134766,0.9060547681133009,0.21935361347802815,0.047620833505810964,0.862585261696625,0.938310502283105,0.11116716372228629,0.04794520547945205,0.0,0.8013698630136986,0.08333333333333333,0.9383561643835616,0.20666666666666667
authguard_msp_16384:7702:2,authguard_msp_16384,7702,2,M0,16384,0.9808524799257996,0.8734740614891052,0.6712182273159326,0.14243653733607492,0.09401232854806255,0.935218712257617,0.9786744925409636,0.04283904577777558,0.9724137931034482,0.05319148936170213,0.9793103448275862,0.09574468085106383,0.9793103448275862,0.10283687943262411
authguard_msp_16384:7702:2,authguard_msp_16384,7702,2,F200,16384,0.9808524799257996,0.8734740614891052,0.6712182273159326,0.14243653733607492,0.09401232854806255,0.9011982623929876,0.9536561506480802,0.08568922795278192,0.7793103448275862,0.05319148936170213,0.8689655172413793,0.08865248226950355,0.896551724137931,0.11347517730496454
authguard_msp_16384:7703:2,authguard_msp_16384,7703,2,M0,16384,0.9731813029619213,1.1410890817642212,0.8594096421173548,0.7820642828778127,0.6864198615474574,0.9477224051314688,0.9795549033993641,0.06559015551263173,0.9586206896551724,0.03546099290780142,0.9724137931034482,0.0673758865248227,0.9724137931034482,0.09219858156028368
authguard_msp_16384:7703:2,authguard_msp_16384,7703,2,F200,16384,0.9731813029619213,1.1410890817642212,0.8594096421173548,0.7820642828778127,0.6864198615474574,0.9076094926112065,0.9627048178038642,0.08233208058550422,0.8068965517241379,0.05673758865248227,0.8827586206896552,0.06028368794326241,0.9241379310344827,0.09219858156028368
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,M0,16384,0.9739247145882359,1.3198237419128418,0.6061112615406548,0.14955245867986575,0.05796201836966709,0.937663667020902,0.9774761555392516,0.044272834000045634,0.9310344827586207,0.03546099290780142,0.9724137931034482,0.08865248226950355,0.9724137931034482,0.12411347517730496
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,F200,16384,0.9739247145882359,1.3198237419128418,0.6061112615406548,0.14955245867986575,0.05796201836966709,0.8477677970077285,0.9185130838835901,0.16062548430414886,0.43448275862068964,0.028368794326241134,0.6620689655172414,0.0673758865248227,0.7931034482758621,0.12056737588652482
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,M0,16384,0.9497640568404189,1.600648283958435,0.9561939759746773,0.4777390157914684,0.440565039710075,0.9247213234140966,0.9785249984812588,0.04985611896162692,0.3333333333333333,0.002824858757062147,0.8064516129032258,0.03672316384180791,0.8172043010752689,0.03672316384180791
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,F200,16384,0.9497640568404189,1.600648283958435,0.9561939759746773,0.4777390157914684,0.440565039710075,0.6550484170426613,0.8137415709859668,0.1143527623556989,0.06451612903225806,0.0,0.45161290322580644,0.01694915254237288,0.45161290322580644,0.025423728813559324
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,M0,16384,0.9687840798957281,2.6354429721832275,0.8564790274363618,0.3474207964366847,0.09654364095823578,0.9630378619310815,0.985906081040034,0.03754297262035161,0.3548387096774194,0.002824858757062147,0.9247311827956989,0.00847457627118644,0.967741935483871,0.03954802259887006
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,F200,16384,0.9687840798957281,2.6354429721832275,0.8564790274363618,0.3474207964366847,0.09654364095823578,0.6782777916424598,0.818145920660956,0.12547971346144296,0.07526881720430108,0.0,0.3870967741935484,0.014124293785310734,0.5483870967741935,0.06779661016949153
authguard_msp_16384:7704:3,authguard_msp_16384,7704,3,M0,16384,0.9747661936129611,1.5929152965545654,0.9838275312583301,0.4905012837803328,0.05856977216457113,0.9764720759828953,0.9947147803900127,0.02665596446071968,0.3548387096774194,0.0,0.9032258064516129,0.00847457627118644,1.0,0.062146892655367235
authguard_msp_16384:7704:3,authguard_msp_16384,7704,3,F200,16384,0.9747661936129611,1.5929152965545654,0.9838275312583301,0.4905012837803328,0.05856977216457113,0.836441175856221,0.9479375493590911,0.1079050757687635,0.03225806451612903,0.0,0.3010752688172043,0.00847457627118644,0.8279569892473119,0.07909604519774012
authguard_msp_16384:7702:4,authguard_msp_16384,7702,4,M0,16384,0.9341478598070588,1.105980396270752,0.9968183752444151,0.39382790757798186,0.2568188747214207,0.9406346700623408,0.9667438150237063,0.059373007749012253,0.2670157068062827,0.008583690987124463,0.9947643979057592,0.12875536480686695,0.9947643979057592,0.18025751072961374
authguard_msp_16384:7702:4,authguard_msp_16384,7702,4,F200,16384,0.9341478598070588,1.105980396270752,0.9968183752444151,0.39382790757798186,0.2568188747214207,0.9402651424788391,0.9584747095701414,0.0932733130863105,0.010471204188481676,0.0,0.9842931937172775,0.2446351931330472,0.9947643979057592,0.3090128755364807
authguard_msp_16384:7703:4,authguard_msp_16384,7703,4,M0,16384,0.8113249525738365,3.501192569732666,0.6671339362860995,0.2986922960794249,0.20875405140537578,0.9753191007823154,0.9830573219782937,0.09197062141418215,0.518324607329843,0.008583690987124463,0.9842931937172775,0.1630901287553648,1.0,0.24034334763948498
authguard_msp_16384:7703:4,authguard_msp_16384,7703,4,F200,16384,0.8113249525738365,3.501192569732666,0.6671339362860995,0.2986922960794249,0.20875405140537578,0.8901279105093027,0.9042087050311215,0.1803326190540581,0.04712041884816754,0.0,0.7696335078534031,0.09012875536480687,0.806282722513089,0.1888412017167382
authguard_msp_16384:7704:4,authguard_msp_16384,7704,4,M0,16384,0.8937107572463656,5.560932159423828,0.7933037613225353,0.2514928392779339,0.2058785868805688,0.968819077530666,0.981124867986428,0.05585991658032265,0.4397905759162304,0.012875536480686695,0.9895287958115183,0.11158798283261803,0.9947643979057592,0.18454935622317598
authguard_msp_16384:7704:4,authguard_msp_16384,7704,4,F200,16384,0.8937107572463656,5.560932159423828,0.7933037613225353,0.2514928392779339,0.2058785868805688,0.9046008632253628,0.9327236366087679,0.15141995188173152,0.05759162303664921,0.004291845493562232,0.7958115183246073,0.12017167381974249,0.9319371727748691,0.15879828326180256
